airline,origin_city,destination_city,distance_miles,arrival_delay_minutes
Alaska Airlines,"Anchorage, AK","Chicago, IL",2846,65
Alaska Airlines,"Anchorage, AK","Cordova, AK",160,-1
Alaska Airlines,"Anchorage, AK","Fairbanks, AK",261,-18
Alaska Airlines,"Anchorage, AK","Juneau, AK",571,-21
Alaska Airlines,"Anchorage, AK","Juneau, AK",571,-14
Alaska Airlines,"Anchorage, AK","Kodiak, AK",253,-8
Alaska Airlines,"Anchorage, AK","Kodiak, AK",253,-18
Alaska Airlines,"Anchorage, AK","Kodiak, AK",253,9
Alaska Airlines,"Anchorage, AK","Los Angeles, CA",2345,-15
Alaska Airlines,"Anchorage, AK","Los Angeles, CA",2345,-44
Alaska Airlines,"Anchorage, AK","Seattle, WA",1448,-10
Alaska Airlines,"Anchorage, AK","Seattle, WA",1448,-20
Alaska Airlines,"Anchorage, AK","Seattle, WA",1448,16
Alaska Airlines,"Anchorage, AK","Seattle, WA",1448,-1
Alaska Airlines,"Barrow, AK","Anchorage, AK",725,12
Alaska Airlines,"Boise, ID","Portland, OR",344,-21
Alaska Airlines,"Boise, ID","Portland, OR",344,48
Alaska Airlines,"Boise, ID","San Diego, CA",749,17
Alaska Airlines,"Boise, ID","San Diego, CA",749,-23
Alaska Airlines,"Boise, ID","Seattle, WA",399,0
Alaska Airlines,"Boston, MA","San Diego, CA",2588,28
Alaska Airlines,"Boston, MA","San Diego, CA",2588,-45
Alaska Airlines,"Boston, MA","Seattle, WA",2496,-22
Alaska Airlines,"Boston, MA","Seattle, WA",2496,-1
Alaska Airlines,"Boston, MA","Seattle, WA",2496,21
Alaska Airlines,"Burbank, CA","Honolulu, HI",2562,-21
Alaska Airlines,"Burbank, CA","Portland, OR",817,-20
Alaska Airlines,"Burbank, CA","Seattle, WA",937,-4
Alaska Airlines,"Burbank, CA","Seattle, WA",937,-46
Alaska Airlines,"Chicago, IL","Seattle, WA",1721,1
Alaska Airlines,"Dallas/Fort Worth, TX","San Diego, CA",1171,57
Alaska Airlines,"Dallas/Fort Worth, TX","San Diego, CA",1171,76
Alaska Airlines,"Dallas/Fort Worth, TX","Seattle, WA",1660,171
Alaska Airlines,"Dallas/Fort Worth, TX","Seattle, WA",1660,-9
Alaska Airlines,"Denver, CO","Portland, OR",991,8
Alaska Airlines,"Denver, CO","Seattle, WA",1024,-8
Alaska Airlines,"Denver, CO","Seattle, WA",1024,26
Alaska Airlines,"Denver, CO","Seattle, WA",1024,-15
