"park_code","park","year","month_number","month","recreation_visits"
"BICY","Big Cypress National Preserve","2015","1","January","114045"
"BICY","Big Cypress National Preserve","2015","2","February","144112"
"BICY","Big Cypress National Preserve","2015","3","March","153084"
"BICY","Big Cypress National Preserve","2015","4","April","113880"
"BICY","Big Cypress National Preserve","2015","5","May","72510"
"BICY","Big Cypress National Preserve","2015","6","June","64968"
"BICY","Big Cypress National Preserve","2015","7","July","78688"
"BICY","Big Cypress National Preserve","2015","8","August","49854"
"BICY","Big Cypress National Preserve","2015","9","September","53746"
"BICY","Big Cypress National Preserve","2015","10","October","65884"
"BICY","Big Cypress National Preserve","2015","11","November","83195"
"BICY","Big Cypress National Preserve","2015","12","December","118324"
"BICY","Big Cypress National Preserve","2016","1","January","112464"
"BICY","Big Cypress National Preserve","2016","2","February","141457"
"BICY","Big Cypress National Preserve","2016","3","March","161649"
"BICY","Big Cypress National Preserve","2016","4","April","97850"
"BICY","Big Cypress National Preserve","2016","5","May","83736"
"BICY","Big Cypress National Preserve","2016","6","June","59534"
"BICY","Big Cypress National Preserve","2016","7","July","63078"
"BICY","Big Cypress National Preserve","2016","8","August","51889"
"BICY","Big Cypress National Preserve","2016","9","September","66335"
"BICY","Big Cypress National Preserve","2016","10","October","58178"
"BICY","Big Cypress National Preserve","2016","11","November","109696"
"BICY","Big Cypress National Preserve","2016","12","December","96282"
"BICY","Big Cypress National Preserve","2017","1","January","117520"
"BICY","Big Cypress National Preserve","2017","2","February","125431"
"BICY","Big Cypress National Preserve","2017","3","March","138863"
"BICY","Big Cypress National Preserve","2017","4","April","94443"
"BICY","Big Cypress National Preserve","2017","5","May","76725"
"BICY","Big Cypress National Preserve","2017","6","June","43093"
"BICY","Big Cypress National Preserve","2017","7","July","72270"
"BICY","Big Cypress National Preserve","2017","8","August","48465"
"BICY","Big Cypress National Preserve","2017","9","September","32593"
"BICY","Big Cypress National Preserve","2017","10","October","33984"
"BICY","Big Cypress National Preserve","2017","11","November","54160"
"BICY","Big Cypress National Preserve","2017","12","December","85336"
"BICY","Big Cypress National Preserve","2018","1","January","58788"
"BICY","Big Cypress National Preserve","2018","2","February","114628"
"BICY","Big Cypress National Preserve","2018","3","March","108822"
"BICY","Big Cypress National Preserve","2018","4","April","97916"
"BICY","Big Cypress National Preserve","2018","5","May","60940"
"BICY","Big Cypress National Preserve","2018","6","June","43628"
"BICY","Big Cypress National Preserve","2018","7","July","46520"
"BICY","Big Cypress National Preserve","2018","8","August","31974"
"BICY","Big Cypress National Preserve","2018","9","September","38965"
"BICY","Big Cypress National Preserve","2018","10","October","42112"
"BICY","Big Cypress National Preserve","2018","11","November","72107"
"BICY","Big Cypress National Preserve","2018","12","December","77950"
"BICY","Big Cypress National Preserve","2019","1","January","86391"
