request_id,created_date,borough,descriptor
63575321,2025-01-01T02:27:33.000,BROOKLYN,Pothole
63585580,2025-01-01T02:31:08.000,QUEENS,Pothole
63590681,2025-01-01T02:39:44.000,BROOKLYN,Dumpster - Construction Waste
63580421,2025-01-01T02:55:52.000,QUEENS,Pothole
63605103,2025-01-01T04:20:00.000,BROOKLYN,Wear & Tear
63587388,2025-01-01T04:28:31.000,MANHATTAN,Defective Hardware
63619759,2025-01-01T06:00:17.000,BROOKLYN,Pothole
63612479,2025-01-01T06:01:21.000,BROOKLYN,Pothole
63616837,2025-01-01T06:02:48.000,BROOKLYN,Pothole
63615429,2025-01-01T06:03:33.000,BROOKLYN,Pothole
63618307,2025-01-01T06:04:19.000,BROOKLYN,Pothole
63616897,2025-01-01T06:16:37.000,BROOKLYN,Pothole
63615428,2025-01-01T06:17:19.000,BROOKLYN,Pothole
63613804,2025-01-01T06:17:48.000,BROOKLYN,Pothole
63612323,2025-01-01T06:19:37.000,BROOKLYN,Pothole
63654655,2025-01-01T06:55:05.000,BRONX,Pothole
63649015,2025-01-01T06:55:58.000,BRONX,Pothole
63649014,2025-01-01T06:56:39.000,BRONX,Pothole
63654746,2025-01-01T06:57:25.000,BRONX,Pothole
63662589,2025-01-01T06:57:58.000,BRONX,Pothole
63654704,2025-01-01T06:59:20.000,BRONX,Pothole
63601397,2025-01-01T07:00:00.000,STATEN ISLAND,Wear & Tear
63607059,2025-01-01T07:00:00.000,STATEN ISLAND,Pothole
63660591,2025-01-01T07:00:23.000,BRONX,Pothole
63656556,2025-01-01T07:01:31.000,BRONX,Pothole
63589855,2025-01-01T07:14:06.000,BRONX,Failed Street Repair
63662425,2025-01-01T07:41:03.000,BRONX,Pothole
63662588,2025-01-01T07:42:35.000,BRONX,Pothole
63658585,2025-01-01T07:43:31.000,BRONX,Pothole
63660465,2025-01-01T07:44:12.000,BRONX,Pothole
63662556,2025-01-01T07:45:05.000,BRONX,Pothole
63610493,2025-01-01T07:45:59.000,QUEENS,Pothole
63652859,2025-01-01T07:46:41.000,BRONX,Pothole
63656660,2025-01-01T07:47:46.000,BRONX,Pothole
63656659,2025-01-01T07:48:31.000,BRONX,Pothole
63656555,2025-01-01T07:50:00.000,BRONX,Pothole
63649013,2025-01-01T07:50:45.000,BRONX,Pothole
63662424,2025-01-01T07:51:45.000,BRONX,Pothole
63654654,2025-01-01T07:52:21.000,BRONX,Pothole
63656554,2025-01-01T07:52:55.000,BRONX,Pothole
63662423,2025-01-01T07:53:29.000,BRONX,Pothole
63649012,2025-01-01T07:54:10.000,BRONX,Pothole
63654699,2025-01-01T07:54:49.000,BRONX,Pothole
63656745,2025-01-01T07:55:22.000,BRONX,Pothole
63649019,2025-01-01T07:55:54.000,BRONX,Pothole
63654698,2025-01-01T07:56:31.000,BRONX,Pothole
63592422,2025-01-01T08:10:16.000,MANHATTAN,Cave-in
63610920,2025-01-01T08:56:22.000,QUEENS,Pothole
63612478,2025-01-01T08:57:58.000,QUEENS,Pothole
63610917,2025-01-01T08:58:53.000,QUEENS,Pothole
63619856,2025-01-01T08:59:33.000,QUEENS,Pothole
63612395,2025-01-01T09:00:12.000,QUEENS,Pothole
63612321,2025-01-01T09:01:17.000,QUEENS,Pothole
63592337,2025-01-01T09:17:55.000,QUEENS,Defective Hardware
63592399,2025-01-01T09:43:49.000,BRONX,Cave-in
63589856,2025-01-01T09:49:02.000,BROOKLYN,"Rough, Pitted or Cracked Roads"
63612481,2025-01-01T09:51:21.000,QUEENS,Pothole
63587307,2025-01-01T09:52:21.000,QUEENS,"Rough, Pitted or Cracked Roads"
63613980,2025-01-01T09:52:22.000,QUEENS,Pothole
63612382,2025-01-01T09:53:16.000,QUEENS,Pothole
63587405,2025-01-01T09:54:36.000,QUEENS,"Rough, Pitted or Cracked Roads"
63619941,2025-01-01T09:55:26.000,QUEENS,Pothole
63612363,2025-01-01T09:56:03.000,QUEENS,Pothole
63615315,2025-01-01T09:57:23.000,QUEENS,Pothole
63615430,2025-01-01T09:58:11.000,QUEENS,Pothole
63616884,2025-01-01T09:58:44.000,QUEENS,Pothole
63621455,2025-01-01T09:59:26.000,QUEENS,Pothole
63615535,2025-01-01T10:00:05.000,QUEENS,Pothole
63593003,2025-01-01T10:16:00.000,BROOKLYN,Pothole
63587292,2025-01-01T10:34:49.000,BROOKLYN,Failed Street Repair
63613830,2025-01-01T10:41:04.000,QUEENS,Pothole
63612324,2025-01-01T10:41:50.000,QUEENS,Pothole
63618442,2025-01-01T10:42:43.000,QUEENS,Pothole
63621552,2025-01-01T10:43:18.000,QUEENS,Pothole
63615276,2025-01-01T10:46:05.000,QUEENS,Pothole
