customer_id,contract,internet_service,tech_support,payment_method,paperless_billing,churn
7590-VHVEG,Month-to-month,DSL,No,Electronic check,Yes,No
5575-GNVDE,One year,DSL,No,Mailed check,No,No
3668-QPYBK,Month-to-month,DSL,No,Mailed check,Yes,Yes
7795-CFOCW,One year,DSL,Yes,Bank transfer (automatic),No,No
9237-HQITU,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
9305-CDSKC,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
1452-KIOVK,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
6713-OKOMC,Month-to-month,DSL,No,Mailed check,No,No
7892-POOKP,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes
6388-TABGU,One year,DSL,No,Bank transfer (automatic),No,No
9763-GRSKD,Month-to-month,DSL,No,Mailed check,Yes,No
7469-LKBCI,Two year,No,No internet service,Credit card (automatic),No,No
8091-TTVAX,One year,Fiber optic,No,Credit card (automatic),No,No
0280-XJGEX,Month-to-month,Fiber optic,No,Bank transfer (automatic),Yes,Yes
5129-JLPIS,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No
3655-SNQYZ,Two year,Fiber optic,Yes,Credit card (automatic),No,No
8191-XWSZG,One year,No,No internet service,Mailed check,No,No
9959-WOFKT,Two year,Fiber optic,No,Bank transfer (automatic),No,No
4190-MFLUW,Month-to-month,DSL,Yes,Credit card (automatic),No,Yes
4183-MYFRB,Month-to-month,Fiber optic,No,Electronic check,Yes,No
8779-QRDMV,Month-to-month,DSL,No,Electronic check,Yes,Yes
1680-VDCWW,One year,No,No internet service,Bank transfer (automatic),No,No
1066-JKSGK,Month-to-month,No,No internet service,Mailed check,No,Yes
3638-WEABW,Two year,DSL,Yes,Credit card (automatic),Yes,No
6322-HRPFA,Month-to-month,DSL,Yes,Credit card (automatic),No,No
6865-JZNKO,Month-to-month,DSL,No,Bank transfer (automatic),Yes,No
6467-CHFZW,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
8665-UTDHZ,Month-to-month,DSL,No,Electronic check,No,Yes
5248-YGIJN,Two year,DSL,Yes,Credit card (automatic),Yes,No
8773-HHUOZ,Month-to-month,DSL,No,Mailed check,Yes,Yes
3841-NFECX,Two year,Fiber optic,Yes,Credit card (automatic),Yes,No
4929-XIHVW,Month-to-month,Fiber optic,No,Credit card (automatic),Yes,No
6827-IEAUQ,One year,DSL,Yes,Mailed check,No,No
7310-EGVHZ,Month-to-month,No,No internet service,Bank transfer (automatic),No,No
3413-BMNZE,Month-to-month,DSL,No,Bank transfer (automatic),No,No
6234-RAAPL,Two year,Fiber optic,Yes,Bank transfer (automatic),No,No
6047-YHPVI,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes
