review_id,location,rating,review_date,review_text
1,Florida,5.0,2004-02-17,"If you visit Orlando, you have to take two days out to go to the Universal parks. We had so much fun. The two best rides were Spider-man at Islands of Adventure and Shrek at Universal Studios!!!"
2,Florida,5.0,2005-01-03,"I think these parks (Universal Studios and Islands of Adventure) are the best in Orlando. There's so many thrills and chills there. USF is so brash and exciting. They're not afraid to set everything around you on fire or blast you 0 to 40 in two seconds. I think that this is why it appeals to the teenage crowd. However, these aren't the same parks. One is based entirely on the movies, and one is based on a fictional world with several different themed lands. So, because it's two parks, I'll review both of them.  Universal Studios This was the original park, but it's grown a lot since its shaky opening over a decade ago. The park now includes amazing attractions. As soon as you walk in, you're met with several different things to do. Everything seems so realistic. In the New York area, there are buildings everywhere and it appears as if you're walking on a street. In the Amity area, it seems as if you will be eaten by the big shark himself-Jaws. Here are some of the highlighted attractions: Men In Black: Alien Attack: This is an interactive ride in which people of all ages can team up in their own spinning cars and careen through New York streets. Your job is to shoot all the aliens that you can find. Kids will like it too--the aliens aren't scary (sort of cartoon-looking), and the spins aren't bad. Revenge of the Mummy: This is the new attraction, so the lines are a bit long. You board a mine cart which travels through different scenes before racing through a high-speed indoor rollercoaster. Included among the madness is a launch uphill, a ceiling bursting into flames and plenty of thrilling drops. Some say that this is a good enough reason to travel to Universal. The only thing that I can say is this: ignore the hype. Whatever you do, ignore the hype. If you do, you'll be pleasantly surprised. Jaws: The ride starts out as a nice tour through the Amity lagoon. Your skipper happily points out the landmarks and everything is going as planned. Soon, a frightened call of a fellow skipper signals something much worse. The infamous shark has returned. You and your fellow boatriders are trapped in the murky depths as the animatronic bursts out of the water. The skipper tries desperately to kill it, using his grenade launcher. After a scary boat house and a wall of flames, the final showdown comes. With a blast of fog and noise, Jaws attacks for its last time, just happening to eat an electrical line instead. Anyone want fried shark? There are many, many other attractions here including the E.T. Adventure, Shrek 4-D, Twister, Earthquake, Back to the Future, T2-3D and a whole section for kids. Like I mentioned earlier, Universal has more in-your-face action but it also provides calmer things for the young ones. For example, there's Jimmy Neutron's Nicktoon Blast, which is still fun even if you're older then the targeted crowd. There's also a kid's play area and kiddie coaster. Shrek 4-D is stunning. The effects are so crisp. You see Donky flailing his hooves at you as an evil dragon bellows fire in cool 3-D. I think it's worth the visit. However, if you're traveling from afar, go to AAA travel agency and book a room at one of their hotels. It's definitely worth it. People complain of long lines, but if you stay on-site you get an Express Pass which allows you to bypass all those lines. Plus, you can walk to the parks or ride a river ferry.  Islands of Adventure The adventure begins as soon as you walk under the infamous bridge and enter the Port of Entry. This is only the first of the islands, and though it boasts no attractions, there are many secrets to be uncovered. The island is themed to be a bustling sea-side village where the adventurers gather before beginning their quest to all of the other lands. Next up is Marvel SuperHero Island. As soon as you walk in, you're greeted with adrenaline-pumping comic book style music. Everything is themed to be in a city, where Marvel superheroes (Spiderman, Hulk, Wolverine, Storm, the Fantastic Four, Captain America etc) battle it out with the ultimate villains (Magneto, Dr. Doom). There are large cut-outs of the characters in action, and they're extremely detailed and colorful. This island is home to the Incredible Hulk Rollercoaster. Instead of being a simple chainlift standup rollercoaster, you're blasted from 0 to 40 (I think) in two seconds uphill in an enclosed chainlift. Once you exit the Gamma Radiation tomb you do a complete inversion a 100 feet in the air. After this you plunge back to the earth before completing the rest of the twisted track. The beginning is worth the whole ride, in my opinion. Next to the Hulk is Spiderman. This is a must-see ride. It's a 3-D adventure in which your vehicle actually moves through sets, some of which are real and some of which are 3-D. For example, you see the shadow of Spiderman before he leaps onto your car. When he does, the vehicle shakes slightly due to his weight. Sometimes you won't know if it's real or projected imagery. At one point, there's a simulated 400 ft drop, where you almost crash into the cement before Spiderman spins a web to save you. There are other attractions, but I'll skip over them for now. The next stop is at Toon Lagoon. Several cartoons call this their home. You can join Dudley Do-Right as he sends you on the ultimate logride. There are several small drops, but they're nothing compared to the huge one at the end. Some say its the steepest and fastest one around. In your puny log, you plunge down what seems like an infinite slope before crashing through a cartoon shack, through a bunny hill, and finally to a splash down. After you've gotten soaked, you can get soaked once again on Popeye and Bluto's Bilge-Rat Barges. I'll skip the details on that, there is more to explore. The next island is Jurassic Park. If you've never heard of this phoenomanal movie, I don't know what you're doing reading this. This island is surrounded with vegetation, electric fences (for the dinosaurs), and small JP style huts. With a Discovery Center (where you can watch a baby raptor hatch or participate in some small interactive games), a raft ride, and a play area complete with cool caves, Jurassic Park is definitely worth walking through. The Jurassic Park River Adventure is the most talked-about attraction of the area. You're raft drifts through a peaceful lagoon where you're welcomed to Jurassic Park. You float by a towering Ultrasaur (like a Brontosaurus), which cranes its neck above you're head. The narrator gives you a little information about the peaceful dinosaurs, but something has to go wrong...right? Yep, this is Universal, and they're not going to leave it as a gentle drift with animatronic dinosaurs. Your raft is knocked off course and is accidentally sent to the raptor containment area. You enter the lift where raptors attack from all sides, including some spitter dinosaurs, before you face the ultimate carnivore. The raft with its survivors is put face-to-face with a T-Rex. The dinosaur pops out of the mist and roars (it looks exactly like the one in the movie). It leans its head down, poised to eat every person on board. The raft has a different idea...before you know it, you're plunging 84 ft to the bottom in an awesome splash-down. Now, that's not all the islands...there are still two awesome dueling coasters and a fantastic world of Seussian creatures. What I explained was about half of the park. Until next time...the adventure lives on!"
3,Florida,1.0,2005-03-31,"3 hours to get on a ride, $5 icees and $7 for a cold pizza?? After the initial park entrance fee I expected a bit more."
4,Florida,5.0,2005-06-08,We really had a great time at this park. My 7 year old was a little frightened at some of the rides but my 9 year old went on everything. Children under 7 probably would not do well on most of the rides. We stayed on property so we got the use our room key to go to just about the front of every ride. This made the cost of the room well worth it! We loved every ride except Back to the Future. Like a previous post mentioned it was so jerky I hit my head on the back seat several times. I felt like I had whiplash and I'm only 29 years old. Both of my daughters really liked Men In Black and the Animal Planet Live show.
5,Florida,4.0,2006-01-24,"After spending time in the Keys, we decided to leave a day early and spend our last day at Universal Studios which is close to the airport. We bought the cheaper tickets which allowed us to visit 1 side of the park (there are 2 sides). At first we thought our 4 teens (plus 11 yr old) wouldn't be entertained... we were expecting a lot more rides. However, some of the few rides they have are awesome!! The 3-D Spiderman ride was amazing, along with Duling Dragons and The Hulk. Mom and daughter loved Jurasic Park, a jungle in the middle of the city. Our 16 yr old took crazy photos with every super hero. The park is very clean, and easy to navigate. We stayed at a LaQuinta 5 minutes from the park. On Jan 4, it was 70 degrees and not very crowded. Everyone loved it. We suggest two days total at Universal (assuming the other side is just as entertaining)."
6,Florida,5.0,2007-01-12,"I'm not sure what park the people were at that are complaining about universal studios. But I have gone there every year for 10 years. Speaking of drunk people tripping over their kids, It's called CityWalk, an ADULT part of the park. Who takes their kids to a back to back night club?Anyway, If you don't want to wait in line, order your tickets online like most people do. If you don't want to wait in line at the park, stay at one of the onsite resorts. Do your research before you go and your stay will be wonderful. And park food? Oh my you can get all you can eat for 20.00 bucks. It's good food too. If you have never been to Universal, You must go!! It's the best park in the world!!"
7,Florida,5.0,2007-02-08,We visited the both parks at the end of Jan. I bought 7 day passes on the Universal website. I paid $85 per person for unlimited use of both parks. I thought that was a great deal. The lines were very short for the most part. We did visit the parks on a Sunday and the crowds were much larger then. My 4 year old went on or watched (Barney show-Animal actors)10 attractions at the park so I don't think Universal is only for adults. The Mummy is great-go as a single rider. You save so much time. The Jaws boat ride was a little scary for my little guy although he loved the Woody Woodpecker rollercoaster. I think he went on it 7 times in a row! Shrek was fun and my son really liked Jimmy Neutron. There were characters roaming around and in easy to find areas. We found all the staff member to be friendly and helpful. I would visit Universal studios again.
8,Florida,1.0,2007-04-29,"There are so many reasons to hate this park. The ""rides"" were very short and the lines very long. (We got there very early on a Friday in April.) Paying $70 per person to get into the park, makes you a second class citizen waiting in line. You can buy an ""express pass"" which allows you to jump in line. After waiting 10-20 minutes in line, we watched as ""express pass"" holders walked up and walked in ahead of us. This of course made our wait longer. We started off with the Men in Black ride, which involved using play laser guns to shoot ""rubber aliens"" sitting in garbage cans and around corners. The car you ride in spins a few times which is the really big excitement. Then the ride broke leaving us locked into our seats for about 30 minutes until the staff finally shut off the ride then came and led us out of the ride. Twister was realistic but again, very short. For each ride we went on, the exit forced you through a gift shop, which was irritating. If I want to go into the gift shop, I will. This park seems to be geared toward children but the rides are based on movies primarily from the 1970s to the early 1990s. In fairness, we were not able to get into the Terminator, Earthquake or Mummy rides/shows. I had heard those were quite good. For those, the lines were so long (35+ minutes) we did not wait. I am used to waited for rides but these were oh so not worth the effort. You will be acosted by people taking surveys for tv shows. We were stopped six times. This park promotes itself as taking people behind the scenes of movies/tv shows. In reality, it is little more than a bunch of concocted, poorly designed, cheaply conceived ride/show experiences. Why create a park like this? Universal Studios is a cynical money grab by Universal/NBC to try to wring a few more bucks out of its tired media properties. Stick with the mouse."
9,Florida,1.0,2007-08-28,"We have gone to Florida many times and had not gone to Universal Studios, so we thought that we would try it this time. Big waste of time and money.  The system they use to enter the park is slow and unorganized (it took well over an hour to actually get in the park) There were not that many rides, and of them they were lame and outdated.(the best one for me was the Jaws boat ride, and that was due to the girl that was driving the boat she put alot of effort into her job) Rides were short, lines were long. Food is a bit pricey (to be expected though), Gyros (chicken) were unexpectedly good. Liked that they had fans in some of the lines to cool you down. What they did not lack was gift shops(rides exit into them), and someone trying to sell you something by saying ""would you like to see a magic show"". They are most certainly magicians, my money disapeared and I have no idea where it is. I would not recommend this place to anyone I know (that includes my enemies), I can't believe they stay in business. I will not be back........total waste."
10,Florida,1.0,2008-01-30,"I was looking forward to my day there and I took the day off and was so excited as I was taking my friend who had driven here from Georgia to spend Martin Luther King day, as that is a holiday for my friend. Arrived and after going tru the line , we rented a locker to keep our warm up suits and jackets in case the weather was colder toward the evening. TO my dismay , there were rides that were not working and shows that were close down and not working. such as back to the future--no excitement in park--no one making our day exciting---paid for something that we did not get. You should have all rides and shows up and running or let the customer know befor entering park,  Very dispointed with the day , we so looked forward to and spent only a few hours instead of the full day I had planned,  Scott Mitchell"
